ID_PLAYER,NICK_NAME,FIRST_NAME,SECOND_NAME,AGE,COUNTRY,TEAM_NAME,POSITION_IN_GAME
151,slaxz-,Fritz,Dietrich,26,Germany,M80,AWP
152,s1n,Elias,Stein,23,Germany,M80,IGL
